,Node,VRF,Network,Next_Hop,Next_Hop_IP,Next_Hop_Interface,Protocol,Metric,Admin_Distance,Tag
0,core-tk01,default,0.0.0.0/0,discard,AUTO/NONE(-1l),null_interface,static,0,5,
1,core-tk01,default,10.0.0.101/32,discard,AUTO/NONE(-1l),null_interface,local,0,0,
2,core-tk01,default,10.100.0.0/16,discard,AUTO/NONE(-1l),null_interface,static,0,5,
3,core-tk01,default,10.110.0.0/20,discard,AUTO/NONE(-1l),null_interface,static,0,5,
4,core-tk01,default,10.120.0.0/17,discard,AUTO/NONE(-1l),null_interface,static,0,5,
5,core-tk01,default,10.130.0.0/21,discard,AUTO/NONE(-1l),null_interface,static,0,5,
6,core-tk01,default,172.31.255.1/32,discard,AUTO/NONE(-1l),null_interface,static,0,5,
7,core-tk01,default,192.168.1.0/24,interface ge-0/0/0.0,AUTO/NONE(-1l),ge-0/0/0.0,connected,0,0,
8,core-tk01,default,192.168.1.101/32,interface ge-0/0/0.0,AUTO/NONE(-1l),ge-0/0/0.0,local,0,0,
9,core-tk01,default,192.168.255.101/32,interface lo0.0,AUTO/NONE(-1l),lo0.0,connected,0,0,
10,core-tk02,default,0.0.0.0/0,discard,AUTO/NONE(-1l),null_interface,static,0,5,
11,core-tk02,default,10.0.0.102/32,discard,AUTO/NONE(-1l),null_interface,local,0,0,
12,core-tk02,default,10.100.0.0/16,discard,AUTO/NONE(-1l),null_interface,static,0,5,
13,core-tk02,default,10.110.0.0/20,discard,AUTO/NONE(-1l),null_interface,static,0,5,
14,core-tk02,default,10.120.0.0/17,discard,AUTO/NONE(-1l),null_interface,static,0,5,
15,core-tk02,default,10.130.0.0/21,discard,AUTO/NONE(-1l),null_interface,static,0,5,
16,core-tk02,default,172.31.255.1/32,discard,AUTO/NONE(-1l),null_interface,static,0,5,
17,core-tk02,default,192.168.1.0/24,interface ge-0/0/0.0,AUTO/NONE(-1l),ge-0/0/0.0,connected,0,0,
18,core-tk02,default,192.168.1.102/32,interface ge-0/0/0.0,AUTO/NONE(-1l),ge-0/0/0.0,local,0,0,
19,core-tk02,default,192.168.255.102/32,interface lo0.0,AUTO/NONE(-1l),lo0.0,connected,0,0,
20,edge-tk01,default,10.0.0.15/32,discard,AUTO/NONE(-1l),null_interface,local,0,0,
21,edge-tk01,default,172.16.0.4/30,interface ge-0/0/1.0,AUTO/NONE(-1l),ge-0/0/1.0,connected,0,0,
22,edge-tk01,default,172.16.0.6/32,interface ge-0/0/1.0,AUTO/NONE(-1l),ge-0/0/1.0,local,0,0,
23,edge-tk01,default,172.31.255.1/32,discard,AUTO/NONE(-1l),null_interface,static,0,5,
24,edge-tk01,default,192.168.1.0/24,interface ge-0/0/0.0,AUTO/NONE(-1l),ge-0/0/0.0,connected,0,0,
25,edge-tk01,default,192.168.1.1/32,interface ge-0/0/0.0,AUTO/NONE(-1l),ge-0/0/0.0,local,0,0,
26,edge-tk01,default,192.168.255.1/32,interface lo0.0,AUTO/NONE(-1l),lo0.0,connected,0,0,
27,edge-tk02,default,172.16.0.8/30,interface GigabitEthernet0/0/0/1.100,AUTO/NONE(-1l),GigabitEthernet0/0/0/1.100,connected,0,0,
28,edge-tk02,default,172.16.0.10/32,interface GigabitEthernet0/0/0/1.100,AUTO/NONE(-1l),GigabitEthernet0/0/0/1.100,local,0,0,
