,Interface,Access_VLAN,Active,Allowed_VLANs,Channel_Group,Channel_Group_Members,Description,Encapsulation_VLAN,Primary_Address,Switchport,Switchport_Mode,Switchport_Trunk_Encapsulation,VRF
0,core-tk01[fxp0],,False,,,[],,,,False,NONE,DOT1Q,default
1,core-tk01[fxp0.0],,False,,,[],,,10.0.0.101/24,False,NONE,DOT1Q,default
2,core-tk01[ge-0/0/0],,True,,,[],to_SW-TK01_Ethernet1,,,False,NONE,DOT1Q,default
3,core-tk01[ge-0/0/0.0],,True,,,[],to_SW-TK01_Ethernet1,,192.168.1.101/24,False,NONE,DOT1Q,default
4,core-tk01[lo0],,True,,,[],,,,False,NONE,DOT1Q,default
5,core-tk01[lo0.0],,True,,,[],,,192.168.255.101/32,False,NONE,DOT1Q,default
6,core-tk02[fxp0],,False,,,[],,,,False,NONE,DOT1Q,default
7,core-tk02[fxp0.0],,False,,,[],,,10.0.0.102/24,False,NONE,DOT1Q,default
8,core-tk02[ge-0/0/0],,True,,,[],to_SW-TK01_Ethernet2,,,False,NONE,DOT1Q,default
9,core-tk02[ge-0/0/0.0],,True,,,[],to_SW-TK01_Ethernet2,,192.168.1.102/24,False,NONE,DOT1Q,default
10,core-tk02[lo0],,True,,,[],,,,False,NONE,DOT1Q,default
11,core-tk02[lo0.0],,True,,,[],,,192.168.255.102/32,False,NONE,DOT1Q,default
12,edge-tk01[fxp0],,False,,,[],,,,False,NONE,DOT1Q,default
13,edge-tk01[fxp0.0],,False,,,[],,,10.0.0.15/24,False,NONE,DOT1Q,default
14,edge-tk01[ge-0/0/0],,True,,,[],SW-TK01_Eth3,,,False,NONE,DOT1Q,default
15,edge-tk01[ge-0/0/0.0],,True,,,[],SW-TK01_Eth3,,192.168.1.1/24,False,NONE,DOT1Q,default
16,edge-tk01[ge-0/0/1],,True,,,[],,,,False,NONE,DOT1Q,default
17,edge-tk01[ge-0/0/1.0],,True,,,[],to_PNI01-1,,172.16.0.6/30,False,NONE,DOT1Q,default
18,edge-tk01[lo0],,True,,,[],,,,False,NONE,DOT1Q,default
19,edge-tk01[lo0.0],,True,,,[],,,192.168.255.1/32,False,NONE,DOT1Q,default
20,edge-tk02[GigabitEthernet0/0/0/0],,True,,,[],to_SW-TK01_Ethernet4,,192.168.1.2/24,False,NONE,DOT1Q,default
21,edge-tk02[GigabitEthernet0/0/0/1],,True,,,[],to_shared_curcuit,,,False,NONE,DOT1Q,default
22,edge-tk02[GigabitEthernet0/0/0/1.100],,True,,,[],to_PNI01-2,100,172.16.0.10/30,False,NONE,DOT1Q,default
23,edge-tk02[GigabitEthernet0/0/0/1.200],,True,,,[],to_PNI02-1,200,172.16.1.10/30,False,NONE,DOT1Q,default
24,edge-tk02[GigabitEthernet0/0/0/2],,False,,,[],,,,False,NONE,DOT1Q,default
25,edge-tk02[GigabitEthernet0/0/0/3],,False,,,[],,,,False,NONE,DOT1Q,default
26,edge-tk02[GigabitEthernet0/0/0/4],,False,,,[],,,,False,NONE,DOT1Q,default
27,edge-tk02[GigabitEthernet0/0/0/5],,False,,,[],,,,False,NONE,DOT1Q,default
28,edge-tk02[GigabitEthernet0/0/0/6],,False,,,[],,,,False,NONE,DOT1Q,default
29,edge-tk02[GigabitEthernet0/0/0/7],,False,,,[],,,,False,NONE,DOT1Q,default
30,edge-tk02[GigabitEthernet0/0/0/8],,False,,,[],,,,False,NONE,DOT1Q,default
31,edge-tk02[GigabitEthernet0/0/0/9],,False,,,[],,,,False,NONE,DOT1Q,default
32,edge-tk02[GigabitEthernet0/0/0/10],,False,,,[],,,,False,NONE,DOT1Q,default
33,edge-tk02[GigabitEthernet0/0/0/11],,False,,,[],,,,False,NONE,DOT1Q,default
34,edge-tk02[GigabitEthernet0/0/0/12],,False,,,[],,,,False,NONE,DOT1Q,default
35,edge-tk02[GigabitEthernet0/0/0/13],,False,,,[],,,,False,NONE,DOT1Q,default
36,edge-tk02[GigabitEthernet0/0/0/14],,False,,,[],,,,False,NONE,DOT1Q,default
37,edge-tk02[GigabitEthernet0/0/0/15],,False,,,[],,,,False,NONE,DOT1Q,default
38,edge-tk02[GigabitEthernet0/0/0/16],,False,,,[],,,,False,NONE,DOT1Q,default
39,edge-tk02[GigabitEthernet0/0/0/17],,False,,,[],,,,False,NONE,DOT1Q,default
40,edge-tk02[GigabitEthernet0/0/0/18],,False,,,[],,,,False,NONE,DOT1Q,default
41,edge-tk02[GigabitEthernet0/0/0/19],,False,,,[],,,,False,NONE,DOT1Q,default
42,edge-tk02[GigabitEthernet0/0/0/20],,False,,,[],,,,False,NONE,DOT1Q,default
43,edge-tk02[GigabitEthernet0/0/0/21],,False,,,[],,,,False,NONE,DOT1Q,default
44,edge-tk02[GigabitEthernet0/0/0/22],,False,,,[],,,,False,NONE,DOT1Q,default
45,edge-tk02[GigabitEthernet0/0/0/23],,False,,,[],,,,False,NONE,DOT1Q,default
46,edge-tk02[GigabitEthernet0/0/0/24],,False,,,[],,,,False,NONE,DOT1Q,default
47,edge-tk02[GigabitEthernet0/0/0/25],,False,,,[],,,,False,NONE,DOT1Q,default
48,edge-tk02[GigabitEthernet0/0/0/26],,False,,,[],,,,False,NONE,DOT1Q,default
49,edge-tk02[GigabitEthernet0/0/0/27],,False,,,[],,,,False,NONE,DOT1Q,default
50,edge-tk02[GigabitEthernet0/0/0/28],,False,,,[],,,,False,NONE,DOT1Q,default
51,edge-tk02[GigabitEthernet0/0/0/29],,False,,,[],,,,False,NONE,DOT1Q,default
52,edge-tk02[GigabitEthernet0/0/0/30],,False,,,[],,,,False,NONE,DOT1Q,default
53,edge-tk02[GigabitEthernet0/0/0/31],,False,,,[],,,,False,NONE,DOT1Q,default
54,edge-tk02[GigabitEthernet0/0/0/32],,False,,,[],,,,False,NONE,DOT1Q,default
55,edge-tk02[GigabitEthernet0/0/0/33],,False,,,[],,,,False,NONE,DOT1Q,default
56,edge-tk02[GigabitEthernet0/0/0/34],,False,,,[],,,,False,NONE,DOT1Q,default
57,edge-tk02[GigabitEthernet0/0/0/35],,False,,,[],,,,False,NONE,DOT1Q,default
58,edge-tk02[GigabitEthernet0/0/0/36],,False,,,[],,,,False,NONE,DOT1Q,default
59,edge-tk02[GigabitEthernet0/0/0/37],,False,,,[],,,,False,NONE,DOT1Q,default
60,edge-tk02[GigabitEthernet0/0/0/38],,False,,,[],,,,False,NONE,DOT1Q,default
61,edge-tk02[GigabitEthernet0/0/0/39],,False,,,[],,,,False,NONE,DOT1Q,default
62,edge-tk02[GigabitEthernet0/0/0/40],,False,,,[],,,,False,NONE,DOT1Q,default
63,edge-tk02[GigabitEthernet0/0/0/41],,False,,,[],,,,False,NONE,DOT1Q,default
64,edge-tk02[GigabitEthernet0/0/0/42],,False,,,[],,,,False,NONE,DOT1Q,default
65,edge-tk02[GigabitEthernet0/0/0/43],,False,,,[],,,,False,NONE,DOT1Q,default
66,edge-tk02[GigabitEthernet0/0/0/44],,False,,,[],,,,False,NONE,DOT1Q,default
