,Node,VRF,Interface,IP,Mask,Active
0,core-tk02,default,fxp0.0,10.0.0.102,24,False
1,edge-tk01,default,ge-0/0/1.0,172.16.0.6,30,True
2,edge-tk02,default,GigabitEthernet0/0/0/1.200,172.16.1.10,30,True
3,edge-tk01,default,lo0.0,192.168.255.1,32,True
4,edge-tk02,default,MgmtEth0/0/CPU0/0,10.0.0.15,24,False
5,edge-tk11,default,GigabitEthernet0/0/0/0,192.168.1.11,24,True
6,edge-tk02,default,Loopback0,192.168.255.2,32,True
7,edge-tk03,default,ge-0/0/0.0,192.168.1.3,24,True
8,sw-tk01,default,Management1,10.0.0.15,24,False
9,core-tk01,default,lo0.0,192.168.255.101,32,True
10,edge-tk11,default,GigabitEthernet0/0/0/1,192.168.0.17,30,True
11,core-tk01,default,ge-0/0/0.0,192.168.1.101,24,True
12,edge-tk01,default,ge-0/0/0.0,192.168.1.1,24,True
13,edge-tk02,default,GigabitEthernet0/0/0/1.100,172.16.0.10,30,True
14,edge-tk03,default,fxp0.0,10.0.0.15,24,False
15,core-tk02,default,ge-0/0/0.0,192.168.1.102,24,True
16,core-tk01,default,fxp0.0,10.0.0.101,24,False
17,edge-tk01,default,fxp0.0,10.0.0.15,24,False
18,edge-tk03,default,ge-0/0/1.0,172.16.1.14,30,True
19,edge-tk03,default,lo0.0,192.168.255.3,32,True
20,edge-tk11,default,Loopback0,192.168.255.11,32,True
21,core-tk02,default,lo0.0,192.168.255.102,32,True
22,edge-tk02,default,GigabitEthernet0/0/0/0,192.168.1.2,24,True
23,edge-tk11,default,MgmtEth0/0/CPU0/0,10.0.0.15,24,False
