,Interface,Remote_Interface
0,regiona-rt1[ge-0/0/0],regiona-rt2[ge-0/0/0]
1,regiona-rt2[ge-0/0/0],regiona-rt1[ge-0/0/0]
2,regiona-rt1[ge-0/0/1],regionb-rt1[Ethernet2]
3,regionb-rt1[Ethernet2],regiona-rt1[ge-0/0/1]
4,regiona-rt1[ge-0/0/2],regionc-rt1[GigabitEthernet0/0/0/1]
5,regionc-rt1[GigabitEthernet0/0/0/1],regiona-rt1[ge-0/0/2]
6,regionc-rt1[GigabitEthernet0/0/0/0],regionc-rt2[GigabitEthernet0/0/0/0]
7,regionc-rt2[GigabitEthernet0/0/0/0],regionc-rt1[GigabitEthernet0/0/0/0]
8,regionc-rt1[GigabitEthernet0/0/0/2],regionb-rt1[Ethernet3]
9,regionb-rt1[Ethernet3],regionc-rt1[GigabitEthernet0/0/0/2]
10,regionc-rt2[GigabitEthernet0/0/0/1],regionc-svr01[ens2]
11,regionc-svr01[ens2],regionc-rt2[GigabitEthernet0/0/0/1]
12,regionb-rt1[Ethernet1],regionb-rt2[Ethernet1]
13,regionb-rt2[Ethernet1],regionb-rt1[Ethernet1]
14,regionb-rt2[Ethernet2],regionb-svr01[ens2]
15,regionb-svr01[ens2],regionb-rt2[Ethernet2]
16,regiona-rt2[ge-0/0/1],regiona-svr02[ens2]
17,regiona-svr02[ens2],regiona-rt2[ge-0/0/1]
