,Interface,Access_VLAN,Active,Allowed_VLANs,Channel_Group,Channel_Group_Members,Description,Encapsulation_VLAN,Primary_Address,Switchport,Switchport_Mode,Switchport_Trunk_Encapsulation,VRF
0,regiona-rt1[fxp0],,False,,,[],,,,False,NONE,DOT1Q,default
1,regiona-rt1[fxp0.0],,False,,,[],,,10.0.0.15/24,False,NONE,DOT1Q,default
2,regiona-rt1[ge-0/0/0],,True,,,[],to_RegionA-RT2_ge-0/0/0,,,False,NONE,DOT1Q,default
3,regiona-rt1[ge-0/0/0.0],,True,,,[],to_RegionA-RT2_ge-0/0/0,,192.168.0.1/30,False,NONE,DOT1Q,default
4,regiona-rt1[ge-0/0/1],,True,,,[],to_RegionB-RT1_Ethernet2,,,False,NONE,DOT1Q,default
5,regiona-rt1[ge-0/0/1.0],,True,,,[],to_RegionB-RT1_Ethernet2,,172.16.0.1/30,False,NONE,DOT1Q,default
6,regiona-rt1[ge-0/0/2],,True,,,[],to_RegionC-RT1_GigabitEthernet0/0/0/1,,,False,NONE,DOT1Q,default
7,regiona-rt1[ge-0/0/2.0],,True,,,[],to_RegionC-RT1_GigabitEthernet0/0/0/1,,172.16.1.1/30,False,NONE,DOT1Q,default
8,regiona-rt2[fxp0],,False,,,[],,,,False,NONE,DOT1Q,default
9,regiona-rt2[fxp0.0],,False,,,[],,,10.0.0.15/24,False,NONE,DOT1Q,default
10,regiona-rt2[ge-0/0/0],,True,,,[],to_RegionA-RT1_ge-0/0/0,,,False,NONE,DOT1Q,default
11,regiona-rt2[ge-0/0/0.0],,True,,,[],to_RegionA-RT1_ge-0/0/0,,192.168.0.2/30,False,NONE,DOT1Q,default
12,regiona-rt2[ge-0/0/1],,True,,,[],to_RegionA-Svr02_ens2,,,False,NONE,DOT1Q,default
13,regiona-rt2[ge-0/0/1.0],,True,,,[],to_RegionA-Svr02_ens2,,192.168.100.1/24,False,NONE,DOT1Q,default
14,regiona-svr02[enp1s0],,True,,,[],,,192.168.122.15/24,False,NONE,DOT1Q,default
15,regiona-svr02[ens2],,True,,,[],,,192.168.100.210/24,False,NONE,DOT1Q,default
16,regiona-svr02[ens4],,True,,,[],,,10.0.0.15/24,False,NONE,DOT1Q,default
