,Node,VRF,Network,Next_Hop,Next_Hop_IP,Next_Hop_Interface,Protocol,Metric,Admin_Distance,Tag
0,regiona-rt1,default,10.0.0.15/32,discard,AUTO/NONE(-1l),null_interface,local,0,0,
1,regiona-rt1,default,172.16.0.0/30,interface ge-0/0/1.0,AUTO/NONE(-1l),ge-0/0/1.0,connected,0,0,
2,regiona-rt1,default,172.16.0.1/32,interface ge-0/0/1.0,AUTO/NONE(-1l),ge-0/0/1.0,local,0,0,
3,regiona-rt1,default,172.16.1.0/30,interface ge-0/0/2.0,AUTO/NONE(-1l),ge-0/0/2.0,connected,0,0,
4,regiona-rt1,default,172.16.1.1/32,interface ge-0/0/2.0,AUTO/NONE(-1l),ge-0/0/2.0,local,0,0,
5,regiona-rt1,default,192.168.0.0/30,interface ge-0/0/0.0,AUTO/NONE(-1l),ge-0/0/0.0,connected,0,0,
6,regiona-rt1,default,192.168.0.1/32,interface ge-0/0/0.0,AUTO/NONE(-1l),ge-0/0/0.0,local,0,0,
7,regiona-rt1,default,192.168.100.0/24,ip 192.168.0.2,192.168.0.2,dynamic,static,0,5,
8,regiona-rt2,default,0.0.0.0/0,ip 192.168.0.1,192.168.0.1,dynamic,static,0,5,
9,regiona-rt2,default,10.0.0.15/32,discard,AUTO/NONE(-1l),null_interface,local,0,0,
10,regiona-rt2,default,192.168.0.0/30,interface ge-0/0/0.0,AUTO/NONE(-1l),ge-0/0/0.0,connected,0,0,
11,regiona-rt2,default,192.168.0.2/32,interface ge-0/0/0.0,AUTO/NONE(-1l),ge-0/0/0.0,local,0,0,
12,regiona-rt2,default,192.168.100.0/24,interface ge-0/0/1.0,AUTO/NONE(-1l),ge-0/0/1.0,connected,0,0,
13,regiona-rt2,default,192.168.100.1/32,interface ge-0/0/1.0,AUTO/NONE(-1l),ge-0/0/1.0,local,0,0,
14,regiona-svr02,default,0.0.0.0/0,interface ens2 ip 192.168.100.1,192.168.100.1,ens2,static,0,1,
15,regiona-svr02,default,10.0.0.0/24,interface ens4,AUTO/NONE(-1l),ens4,connected,0,0,
16,regiona-svr02,default,10.0.0.15/32,interface ens4,AUTO/NONE(-1l),ens4,local,0,0,
17,regiona-svr02,default,192.168.100.0/24,interface ens2,AUTO/NONE(-1l),ens2,connected,0,0,
18,regiona-svr02,default,192.168.100.210/32,interface ens2,AUTO/NONE(-1l),ens2,local,0,0,
19,regiona-svr02,default,192.168.122.0/24,interface enp1s0,AUTO/NONE(-1l),enp1s0,connected,0,0,
20,regiona-svr02,default,192.168.122.15/32,interface enp1s0,AUTO/NONE(-1l),enp1s0,local,0,0,
21,regionb-rt1,default,172.16.0.0/30,interface Ethernet2,AUTO/NONE(-1l),Ethernet2,connected,0,0,
22,regionb-rt1,default,172.16.2.0/30,interface Ethernet3,AUTO/NONE(-1l),Ethernet3,connected,0,0,
23,regionb-rt1,default,192.168.1.0/30,interface Ethernet1,AUTO/NONE(-1l),Ethernet1,connected,0,0,
24,regionb-rt2,default,192.168.1.0/30,interface Ethernet1,AUTO/NONE(-1l),Ethernet1,connected,0,0,
25,regionb-rt2,default,192.168.254.0/24,interface Ethernet2,AUTO/NONE(-1l),Ethernet2,connected,0,0,
26,regionb-svr01,default,0.0.0.0/0,interface ens2 ip 192.168.254.1,192.168.254.1,ens2,static,0,1,
27,regionb-svr01,default,10.0.0.0/24,interface ens4,AUTO/NONE(-1l),ens4,connected,0,0,
28,regionb-svr01,default,10.0.0.15/32,interface ens4,AUTO/NONE(-1l),ens4,local,0,0,
29,regionb-svr01,default,192.168.254.0/24,interface ens2,AUTO/NONE(-1l),ens2,connected,0,0,
30,regionb-svr01,default,192.168.254.10/32,interface ens2,AUTO/NONE(-1l),ens2,local,0,0,
31,regionc-rt1,default,172.16.1.0/30,interface GigabitEthernet0/0/0/1,AUTO/NONE(-1l),GigabitEthernet0/0/0/1,connected,0,0,
32,regionc-rt1,default,172.16.1.2/32,interface GigabitEthernet0/0/0/1,AUTO/NONE(-1l),GigabitEthernet0/0/0/1,local,0,0,
33,regionc-rt1,default,172.16.2.0/30,interface GigabitEthernet0/0/0/2,AUTO/NONE(-1l),GigabitEthernet0/0/0/2,connected,0,0,
34,regionc-rt1,default,172.16.2.2/32,interface GigabitEthernet0/0/0/2,AUTO/NONE(-1l),GigabitEthernet0/0/0/2,local,0,0,
35,regionc-rt1,default,192.168.2.0/30,interface GigabitEthernet0/0/0/0,AUTO/NONE(-1l),GigabitEthernet0/0/0/0,connected,0,0,
36,regionc-rt1,default,192.168.2.1/32,interface GigabitEthernet0/0/0/0,AUTO/NONE(-1l),GigabitEthernet0/0/0/0,local,0,0,
37,regionc-rt1,default,192.168.100.0/25,ip 192.168.2.2,192.168.2.2,dynamic,static,0,1,
38,regionc-rt2,default,0.0.0.0/0,ip 192.168.2.1,192.168.2.1,dynamic,static,0,1,
39,regionc-rt2,default,192.168.2.0/30,interface GigabitEthernet0/0/0/0,AUTO/NONE(-1l),GigabitEthernet0/0/0/0,connected,0,0,
40,regionc-rt2,default,192.168.2.2/32,interface GigabitEthernet0/0/0/0,AUTO/NONE(-1l),GigabitEthernet0/0/0/0,local,0,0,
41,regionc-rt2,default,192.168.100.0/25,interface GigabitEthernet0/0/0/1,AUTO/NONE(-1l),GigabitEthernet0/0/0/1,connected,0,0,
42,regionc-rt2,default,192.168.100.1/32,interface GigabitEthernet0/0/0/1,AUTO/NONE(-1l),GigabitEthernet0/0/0/1,local,0,0,
43,regionc-svr01,default,0.0.0.0/0,interface ens2 ip 192.168.100.1,192.168.100.1,ens2,static,0,1,
44,regionc-svr01,default,10.0.0.0/24,interface ens4,AUTO/NONE(-1l),ens4,connected,0,0,
45,regionc-svr01,default,10.0.0.15/32,interface ens4,AUTO/NONE(-1l),ens4,local,0,0,
46,regionc-svr01,default,192.168.100.0/25,interface ens2,AUTO/NONE(-1l),ens2,connected,0,0,
47,regionc-svr01,default,192.168.100.10/32,interface ens2,AUTO/NONE(-1l),ens2,local,0,0,
