,Node,Structure_Type,Structure_Name,Structure_Definition
0,regiona-pe01,Route_Filter_List,ospf-default:__ospf-default__DEFAULT_TERM__,"{'lines': [{'action': 'PERMIT', 'ipWildcard': '0.0.0.0/0', 'lengthRange': '0-0'}], 'name': 'ospf-default:__ospf-default__DEFAULT_TERM__'}"
1,regiona-pe02,Route_Filter_List,ospf-default:__ospf-default__DEFAULT_TERM__,"{'lines': [{'action': 'PERMIT', 'ipWildcard': '0.0.0.0/0', 'lengthRange': '0-0'}], 'name': 'ospf-default:__ospf-default__DEFAULT_TERM__'}"
2,regionb-pe01,Route_Filter_List,ospf-default:__ospf-default__DEFAULT_TERM__,"{'lines': [{'action': 'PERMIT', 'ipWildcard': '0.0.0.0/0', 'lengthRange': '0-0'}], 'name': 'ospf-default:__ospf-default__DEFAULT_TERM__'}"
3,regionb-pe02,Route_Filter_List,ospf-default:__ospf-default__DEFAULT_TERM__,"{'lines': [{'action': 'PERMIT', 'ipWildcard': '0.0.0.0/0', 'lengthRange': '0-0'}], 'name': 'ospf-default:__ospf-default__DEFAULT_TERM__'}"
4,regiona-pe02,Routing_Policy,EXPORTBGP,"{'name': 'EXPORTBGP', 'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '1', 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.Disjunction', 'disjuncts': [{'class': 'org.batfish.datamodel.routing_policy.expr.MatchProtocol', 'protocols': ['bgp', 'ibgp']}, {'class': 'org.batfish.datamodel.routing_policy.expr.MatchProtocol', 'protocols': ['connected']}]}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.TraceableStatement', 'innerStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ExitAccept'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnTrue'}]}], 'traceElement': {'fragments': [{'class': 'org.batfish.datamodel.TraceElement$TextFragment', 'text': 'Matched '}, {'class': 'org.batfish.datamodel.TraceElement$LinkFragment', 'text': 'policy-statement EXPORTBGP term ""1""', 'vendorStructureId': {'filename': 'configs/RegionA-PE02_config.txt', 'structureName': 'EXPORTBGP 1', 'structureType': 'policy-statement term'}}]}}]}, {'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'Return'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}}]}"
5,regionb-pe02,Routing_Policy,EXPORTBGP,"{'name': 'EXPORTBGP', 'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '1', 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.Disjunction', 'disjuncts': [{'class': 'org.batfish.datamodel.routing_policy.expr.MatchProtocol', 'protocols': ['bgp', 'ibgp']}, {'class': 'org.batfish.datamodel.routing_policy.expr.MatchProtocol', 'protocols': ['connected']}]}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.TraceableStatement', 'innerStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ExitAccept'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnTrue'}]}], 'traceElement': {'fragments': [{'class': 'org.batfish.datamodel.TraceElement$TextFragment', 'text': 'Matched '}, {'class': 'org.batfish.datamodel.TraceElement$LinkFragment', 'text': 'policy-statement EXPORTBGP term ""1""', 'vendorStructureId': {'filename': 'configs/RegionB-PE02_config.txt', 'structureName': 'EXPORTBGP 1', 'structureType': 'policy-statement term'}}]}}]}, {'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'Return'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}}]}"
6,regionb-ce01,Routing_Policy,EXPORTDIRECT,"{'name': 'EXPORTDIRECT', 'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '1', 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchProtocol', 'protocols': ['connected']}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.TraceableStatement', 'innerStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ExitAccept'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnTrue'}]}], 'traceElement': {'fragments': [{'class': 'org.batfish.datamodel.TraceElement$TextFragment', 'text': 'Matched '}, {'class': 'org.batfish.datamodel.TraceElement$LinkFragment', 'text': 'policy-statement EXPORTDIRECT term ""1""', 'vendorStructureId': {'filename': 'configs/RegionB-CE01_config.txt', 'structureName': 'EXPORTDIRECT 1', 'structureType': 'policy-statement term'}}]}}]}, {'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'Return'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}}]}"
7,regionb-ce02,Routing_Policy,EXPORTDIRECT,"{'name': 'EXPORTDIRECT', 'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '1', 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchProtocol', 'protocols': ['connected']}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.TraceableStatement', 'innerStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ExitAccept'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnTrue'}]}], 'traceElement': {'fragments': [{'class': 'org.batfish.datamodel.TraceElement$TextFragment', 'text': 'Matched '}, {'class': 'org.batfish.datamodel.TraceElement$LinkFragment', 'text': 'policy-statement EXPORTDIRECT term ""1""', 'vendorStructureId': {'filename': 'configs/RegionB-CE02_config.txt', 'structureName': 'EXPORTDIRECT 1', 'structureType': 'policy-statement term'}}]}}]}, {'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'Return'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}}]}"
8,regiona-pe01,Routing_Policy,EXPORTOSPF,"{'name': 'EXPORTOSPF', 'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '1', 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.Disjunction', 'disjuncts': [{'class': 'org.batfish.datamodel.routing_policy.expr.MatchProtocol', 'protocols': ['ospf', 'ospfE1', 'ospfE2', 'ospfIA']}, {'class': 'org.batfish.datamodel.routing_policy.expr.MatchProtocol', 'protocols': ['connected']}, {'class': 'org.batfish.datamodel.routing_policy.expr.MatchProtocol', 'protocols': ['ospf3']}]}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.TraceableStatement', 'innerStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ExitAccept'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnTrue'}]}], 'traceElement': {'fragments': [{'class': 'org.batfish.datamodel.TraceElement$TextFragment', 'text': 'Matched '}, {'class': 'org.batfish.datamodel.TraceElement$LinkFragment', 'text': 'policy-statement EXPORTOSPF term ""1""', 'vendorStructureId': {'filename': 'configs/RegionA-PE01_config.txt', 'structureName': 'EXPORTOSPF 1', 'structureType': 'policy-statement term'}}]}}]}, {'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'Return'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}}]}"
9,regiona-pe02,Routing_Policy,EXPORTOSPF,"{'name': 'EXPORTOSPF', 'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '1', 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.Disjunction', 'disjuncts': [{'class': 'org.batfish.datamodel.routing_policy.expr.MatchProtocol', 'protocols': ['ospf', 'ospfE1', 'ospfE2', 'ospfIA']}, {'class': 'org.batfish.datamodel.routing_policy.expr.MatchProtocol', 'protocols': ['connected']}, {'class': 'org.batfish.datamodel.routing_policy.expr.MatchProtocol', 'protocols': ['ospf3']}]}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.TraceableStatement', 'innerStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ExitAccept'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnTrue'}]}], 'traceElement': {'fragments': [{'class': 'org.batfish.datamodel.TraceElement$TextFragment', 'text': 'Matched '}, {'class': 'org.batfish.datamodel.TraceElement$LinkFragment', 'text': 'policy-statement EXPORTOSPF term ""1""', 'vendorStructureId': {'filename': 'configs/RegionA-PE02_config.txt', 'structureName': 'EXPORTOSPF 1', 'structureType': 'policy-statement term'}}]}}]}, {'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'Return'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}}]}"
10,regionb-pe01,Routing_Policy,EXPORTOSPF,"{'name': 'EXPORTOSPF', 'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '1', 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.Disjunction', 'disjuncts': [{'class': 'org.batfish.datamodel.routing_policy.expr.MatchProtocol', 'protocols': ['ospf', 'ospfE1', 'ospfE2', 'ospfIA']}, {'class': 'org.batfish.datamodel.routing_policy.expr.MatchProtocol', 'protocols': ['connected']}, {'class': 'org.batfish.datamodel.routing_policy.expr.MatchProtocol', 'protocols': ['ospf3']}]}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.TraceableStatement', 'innerStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ExitAccept'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnTrue'}]}], 'traceElement': {'fragments': [{'class': 'org.batfish.datamodel.TraceElement$TextFragment', 'text': 'Matched '}, {'class': 'org.batfish.datamodel.TraceElement$LinkFragment', 'text': 'policy-statement EXPORTOSPF term ""1""', 'vendorStructureId': {'filename': 'configs/RegionB-PE01_config.txt', 'structureName': 'EXPORTOSPF 1', 'structureType': 'policy-statement term'}}]}}]}, {'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'Return'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}}]}"
