,Interface,VRF,Process_ID,OSPF_Area_Name,OSPF_Enabled,OSPF_Passive,OSPF_Cost,OSPF_Network_Type,OSPF_Hello_Interval,OSPF_Dead_Interval
0,regiona-pe01[ge-0/0/2.0],default,default,0,True,False,1,BROADCAST,10,40
1,regiona-pe02[ge-0/0/1.0],default,default,0,True,False,1,BROADCAST,10,40
2,regiona-pe01[ge-0/0/1.0],default,default,0,True,False,1,BROADCAST,10,40
3,regionb-pe02[lo0.0],default,default,0,True,False,0,BROADCAST,10,40
4,regionb-pe01[lo0.0],default,default,0,True,False,0,BROADCAST,10,40
5,regiona-ce01[Vlan10],default,1,0,True,True,1,BROADCAST,10,40
6,regionb-pe02[ge-0/0/3.0],default,default,0,True,False,1,BROADCAST,10,40
7,regionb-ce02[ae0.0],default,default,0,True,False,1,BROADCAST,10,40
8,regiona-ce01[Management1],default,1,0,True,True,,BROADCAST,10,40
9,regiona-ce01[Port-Channel1],default,1,0,True,False,1,BROADCAST,10,40
10,regiona-ce02[Ethernet2],default,1,0,True,False,1,BROADCAST,10,40
11,regiona-ce02[Vlan10],default,1,0,True,True,1,BROADCAST,10,40
12,regiona-ce01[Ethernet1],default,1,0,True,False,1,BROADCAST,10,40
13,regiona-ce02[Port-Channel1],default,1,0,True,False,1,BROADCAST,10,40
14,regionb-ce01[ae0.0],default,default,0,True,False,1,BROADCAST,10,40
15,regiona-ce01[Vlan20],default,1,0,True,True,1,BROADCAST,10,40
16,regiona-pe02[ge-0/0/3.0],default,default,0,True,False,1,BROADCAST,10,40
17,regiona-ce02[Vlan20],default,1,0,True,True,1,BROADCAST,10,40
18,regionb-pe01[ge-0/0/1.0],default,default,0,True,False,1,BROADCAST,10,40
19,regionb-pe01[ge-0/0/2.0],default,default,0,True,False,1,BROADCAST,10,40
20,regionb-pe02[ge-0/0/1.0],default,default,0,True,False,1,BROADCAST,10,40
21,regionb-ce01[ge-0/0/0.0],default,default,0,True,False,1,BROADCAST,10,40
22,regionb-ce02[ge-0/0/1.0],default,default,0,True,False,1,BROADCAST,10,40
23,regiona-pe02[lo0.0],default,default,0,True,False,0,BROADCAST,10,40
24,regiona-ce02[Management1],default,1,0,True,True,,BROADCAST,10,40
25,regiona-pe01[lo0.0],default,default,0,True,False,0,BROADCAST,10,40
