,Node,VRF,Network,Next_Hop,Next_Hop_IP,Next_Hop_Interface,Protocol,Metric,Admin_Distance,Tag
0,regiona-ce01,default,172.16.1.0/30,interface Ethernet1,AUTO/NONE(-1l),Ethernet1,connected,0,0,
1,regiona-ce01,default,172.16.5.0/30,interface Port-Channel1,AUTO/NONE(-1l),Port-Channel1,connected,0,0,
2,regiona-ce01,default,172.30.10.0/24,interface Vlan10,AUTO/NONE(-1l),Vlan10,connected,0,0,
3,regiona-ce01,default,172.30.20.0/24,interface Vlan20,AUTO/NONE(-1l),Vlan20,connected,0,0,
4,regiona-ce01,vrf1,172.30.110.0/24,interface Vlan110,AUTO/NONE(-1l),Vlan110,connected,0,0,
5,regiona-ce01,vrf1,172.30.120.0/24,interface Vlan120,AUTO/NONE(-1l),Vlan120,connected,0,0,
6,regiona-ce02,default,172.16.4.0/30,interface Ethernet2,AUTO/NONE(-1l),Ethernet2,connected,0,0,
7,regiona-ce02,default,172.16.5.0/30,interface Port-Channel1,AUTO/NONE(-1l),Port-Channel1,connected,0,0,
8,regiona-ce02,default,172.30.10.0/24,interface Vlan10,AUTO/NONE(-1l),Vlan10,connected,0,0,
9,regiona-ce02,default,172.30.20.0/24,interface Vlan20,AUTO/NONE(-1l),Vlan20,connected,0,0,
10,regiona-ce02,vrf1,172.30.110.0/24,interface Vlan110,AUTO/NONE(-1l),Vlan110,connected,0,0,
11,regiona-ce02,vrf1,172.30.120.0/24,interface Vlan120,AUTO/NONE(-1l),Vlan120,connected,0,0,
12,regiona-pe01,default,1.1.1.1/32,interface lo0.0,AUTO/NONE(-1l),lo0.0,connected,0,0,
13,regiona-pe01,default,10.0.0.15/32,discard,AUTO/NONE(-1l),null_interface,local,0,0,
14,regiona-pe01,default,10.1.0.0/30,interface ge-0/0/0.0,AUTO/NONE(-1l),ge-0/0/0.0,connected,0,0,
15,regiona-pe01,default,10.1.0.1/32,interface ge-0/0/0.0,AUTO/NONE(-1l),ge-0/0/0.0,local,0,0,
16,regiona-pe01,default,172.16.0.0/30,interface ge-0/0/1.0,AUTO/NONE(-1l),ge-0/0/1.0,connected,0,0,
17,regiona-pe01,default,172.16.0.1/32,interface ge-0/0/1.0,AUTO/NONE(-1l),ge-0/0/1.0,local,0,0,
18,regiona-pe01,default,172.16.1.0/30,interface ge-0/0/2.0,AUTO/NONE(-1l),ge-0/0/2.0,connected,0,0,
19,regiona-pe01,default,172.16.1.1/32,interface ge-0/0/2.0,AUTO/NONE(-1l),ge-0/0/2.0,local,0,0,
20,regiona-pe02,default,1.1.1.2/32,interface lo0.0,AUTO/NONE(-1l),lo0.0,connected,0,0,
21,regiona-pe02,default,10.0.0.15/32,discard,AUTO/NONE(-1l),null_interface,local,0,0,
